question_id	subject	genre_id	genre_name	question_text	choices	correct_index	correct_answer	hint	difficulty
SC07_001	sci	SC07	植物	植物が日光を受けて、二酸化炭素と水からデンプンなどを作る働きを何といいますか？	["呼吸","蒸散","光合成","発芽"]	2	光合成	光合成は主に葉で行われ、酸素を出します。	easy
SC07_002	sci	SC07	植物	植物の種子が発芽するために必要な3つの条件に含まれないものはどれですか？	["水","適当な温度","空気","日光"]	3	日光	発芽には「水・空気・適当な温度」が必要です。日光は発芽後の成長に必要です（一部の植物を除く）。	hard
SC08_001	sci	SC08	動物	人間の体で、血液を全身に送り出すポンプの働きをしている臓器はどこですか？	["胃","肺","心臓","肝臓"]	2	心臓	心臓は絶えず収縮と拡張を繰り返し、血液を血管へ押し出しています。	easy
SC08_002	sci	SC08	動物	メダカのオスとメスの見分け方について、正しい説明はどれですか？	["オスは背びれに切り込みがある","メスは背びれに切り込みがある","オスはお腹が大きい","メスは尻びれが大きい"]	0	オスは背びれに切り込みがある	オスの背びれには切り込みがあり、尻びれは平行四辺形のような形をしています。	hard
SC10_001	sci	SC10	天体	太陽、月、地球が一直線に並び、月が太陽を隠してしまう現象を何といいますか？	["月食","日食","満月","三日月"]	1	日食	地球から見て月が太陽の手前を横切るとき、太陽が隠れるのが日食です。	normal
SC11_001	sci	SC11	気象	日本の上空で、天気が西から東へと変化していく主な理由は何ですか？	["偏西風が吹いているから","季節風が吹いているから","地球が自転しているから","海流が流れているから"]	0	偏西風が吹いているから	日本の上空には偏西風という強い西風が吹いており、雲を西から東へ運びます。	normal
SO01_001	soc	SO01	日本地理（国土・自然）	日本で一番長い川はどれですか？	["利根川","石狩川","信濃川","四万十川"]	2	信濃川	信濃川は長野県から新潟県を流れる、日本で一番長い川です。	easy
SO01_002	soc	SO01	日本地理（国土・自然）	三陸海岸（東北地方の太平洋側）などに見られる、海岸線が複雑に入り組んだ地形を何といいますか？	["扇状地","リアス海岸","三角州","盆地"]	1	リアス海岸	波が静かなので養殖業などが盛んですが、津波の被害を受けやすい地形でもあります。	normal
SO02_001	soc	SO02	日本地理（産業）	愛知県豊田市などで特に盛んな工業はどれですか？	["製鉄業","自動車工業","繊維工業","石油化学工業"]	1	自動車工業	中京工業地帯の中心である愛知県は、自動車の生産が非常に盛んです。	easy
SO04_001	soc	SO04	歴史（古代〜平安）	縄文時代と弥生時代の大きな違いの一つは、弥生時代にあるものが広まったことです。それは何ですか？	["狩り","稲作","鉄砲","仏教"]	1	稲作	大陸から稲作が伝わり、定住生活や「ムラ」の形成、貧富の差などが生まれました。	easy
SO04_002	soc	SO04	歴史（古代〜平安）	平安時代に、紫式部によって書かれた物語はどれですか？	["枕草子","竹取物語","源氏物語","古事記"]	2	源氏物語	紫式部は「源氏物語」を、清少納言は「枕草子」を書きました。	normal
SO05_001	soc	SO05	歴史（鎌倉〜室町）	1274年と1281年に、元（モンゴル帝国）の軍が日本に攻めてきた出来事を何といいますか？	["元寇","承久の乱","応仁の乱","壇ノ浦の戦い"]	0	元寇	北条時宗が執権の時代に、福岡県の北部などに攻めてきました。	hard
SO05_002	soc	SO05	歴史（鎌倉〜室町）	室町時代に、足利義満が京都の北山に建てた金色の建物は何ですか？	["銀閣","東大寺","金閣（鹿苑寺）","平等院鳳凰堂"]	2	金閣（鹿苑寺）	足利義満は金閣を建て、明（中国）との勘合貿易を行いました。	easy
SO06_001	soc	SO06	歴史（安土桃山〜江戸）	江戸時代、大名に1年おきに領地と江戸を行き来させた制度を何といいますか？	["刀狩","楽市・楽座","参勤交代","鎖国"]	2	参勤交代	徳川家光が定めた制度で、大名にお金を使わせて勢力を弱める目的がありました。	normal
SO06_002	soc	SO06	歴史（安土桃山〜江戸）	江戸時代の終わり、日本に開国を求めて浦賀（神奈川県）に来航したアメリカの人物は誰ですか？	["ザビエル","コロンブス","ペリー","マッカーサー"]	2	ペリー	黒船に乗って来航し、日本の鎖国体制が終わるきっかけを作りました。	easy
SO08_001	soc	SO08	公民（政治・憲法）	日本国憲法の三大原則は、「国民主権」「平和主義」ともう一つは何ですか？	["基本的人権の尊重","五箇条の御誓文","王政復古","富国強兵"]	0	基本的人権の尊重	人間が生まれながらに持っている、人間らしく生きる権利を大切にすることです。	normal
